,force,touch
0,3, 0
1,3, 0
2,1, 1
3,2, 1
4,1, 1
5,1, 1
6,0, 1
7,1, 1
8,1, 1
9,1, 1
10,1, 1
11,1, 1
12,1, 1
13,2, 1
14,2, 1
15,1, 1
16,3, 1
17,3, 1
18,1, 1
19,2, 1
20,2, 1
21,3, 1
22,2, 1
23,99, 1
24,160, 1
25,244, 1
26,325, 1
27,1, 1
28,2, 1
29,455, 1
30,480, 1
31,487, 1
32,495, 1
33,502, 1
34,507, 1
35,510, 1
36,514, 1
37,516, 1
38,517, 1
39,515, 1
40,512, 1
41,503, 1
42,480, 1
43,435, 1
44,369, 1
45,273, 1
46,1, 1
47,2, 1
48,2, 0
49,2, 0
50,3, 0
51,1, 0
52,2, 0
53,2, 0
54,1, 0
55,3, 0
56,1, 0
57,1, 0
58,1, 0
59,2, 0
60,1, 0
61,2, 0
62,1, 0
63,1, 0
64,1, 0
65,1, 0
66,4, 0
67,2, 1
68,1, 1
69,1, 1
70,1, 1
71,2, 1
72,1, 1
